Date,Value
2/8/1991,2830.69
2/15/1991,2934.65
2/22/1991,2889.36
3/1/1991,2909.9
3/8/1991,2955.2
3/15/1991,2948.27
3/22/1991,2858.91
3/28/1991,2913.86
4/5/1991,2896.78
4/12/1991,2920.79
4/19/1991,2965.59
4/26/1991,2912.38
5/3/1991,2938.86
5/10/1991,2920.17
5/17/1991,2886.63
5/24/1991,2913.91
5/31/1991,3027.5
6/7/1991,2976.74
6/14/1991,3000.45
6/21/1991,2965.56
6/28/1991,2906.75
7/5/1991,2932.47
7/12/1991,2980.77
7/19/1991,3016.32
7/26/1991,2972.5
8/2/1991,3006.26
8/9/1991,2996.2
8/16/1991,2968.02
8/23/1991,3040.25
8/30/1991,3043.6
9/6/1991,3011.63
9/13/1991,2985.69
9/20/1991,3019.23
9/27/1991,3006.04
10/4/1991,2961.76
10/11/1991,2983.68
10/18/1991,3077.15
10/25/1991,3004.92
11/1/1991,3056.35
11/8/1991,3045.62
11/15/1991,2943.2
11/22/1991,2902.73
11/29/1991,2894.68
12/6/1991,2886.4
12/13/1991,2914.36
12/20/1991,2934.48
12/27/1991,3101.52
1/3/1992,3201.48
1/10/1992,3199.46
1/17/1992,3264.98
1/24/1992,3232.78
1/31/1992,3223.39
2/7/1992,3225.4
2/14/1992,3245.97
2/21/1992,3280.19
2/28/1992,3267.67
3/6/1992,3221.6
3/13/1992,3235.91
3/20/1992,3276.39
3/27/1992,3231.44
4/3/1992,3249.11
4/10/1992,3255.37
4/16/1992,3366.5
4/24/1992,3324.46
5/1/1992,3336.09
5/8/1992,3369.41
5/15/1992,3353.09
5/22/1992,3386.77
5/29/1992,3396.88
6/5/1992,3398.69
6/12/1992,3354.36
6/19/1992,3285.35
6/26/1992,3282.41
7/2/1992,3330.29
7/10/1992,3330.56
7/17/1992,3331.64
7/24/1992,3285.71
7/31/1992,3393.78
8/7/1992,3332.18
8/14/1992,3328.94
8/21/1992,3254.09
8/28/1992,3267.61
9/4/1992,3281.93
9/11/1992,3305.7
9/18/1992,3327.05
9/25/1992,3250.32
10/2/1992,3200.61
10/9/1992,3136.58
10/16/1992,3174.41
10/23/1992,3207.64
10/30/1992,3226.28
11/6/1992,3240.06
11/13/1992,3233.03
11/20/1992,3227.36
11/27/1992,3282.2
12/4/1992,3288.68
12/11/1992,3304.08
12/18/1992,3313.27
12/24/1992,3326.24
12/31/1992,3301.11
1/8/1993,3251.67
1/15/1993,3271.12
1/22/1993,3256.81
1/29/1993,3310.03
2/5/1993,3442.14
2/12/1993,3392.43
2/19/1993,3322.18
2/26/1993,3370.81
3/5/1993,3404.58
3/12/1993,3427.82
3/19/1993,3471.58
3/26/1993,3439.98
4/2/1993,3370.81
4/8/1993,3396.48
4/16/1993,3478.61
4/23/1993,3413.77
4/30/1993,3427.55
5/7/1993,3437.19
5/14/1993,3443.01
5/21/1993,3492.83
5/28/1993,3527.43
6/4/1993,3545.14
6/11/1993,3505.01
6/18/1993,3494.77
6/25/1993,3490.89
7/2/1993,3483.97
7/9/1993,3521.06
7/16/1993,3528.29
7/23/1993,3546.74
7/30/1993,3539.47
8/6/1993,3560.43
8/13/1993,3569.65
8/20/1993,3615.48
8/27/1993,3640.63
9/3/1993,3633.93
9/10/1993,3621.63
9/17/1993,3613.25
9/24/1993,3543.11
10/1/1993,3581.11
10/8/1993,3584.74
10/15/1993,3629.73
10/22/1993,3649.3
10/29/1993,3680.59
11/5/1993,3643.43
11/12/1993,3684.51
11/19/1993,3694.01
11/26/1993,3683.95
12/3/1993,3704.07
12/10/1993,3740.67
12/17/1993,3751.57
12/23/1993,3757.72
12/31/1993,3754.09
1/7/1994,3820.77
1/14/1994,3867.2
1/21/1994,3914.48
1/28/1994,3945.43
2/4/1994,3871.42
2/11/1994,3894.78
2/18/1994,3887.46
2/25/1994,3838.78
3/4/1994,3832.3
3/11/1994,3862.7
3/18/1994,3895.65
3/25/1994,3774.73
3/31/1994,3635.96
4/8/1994,3674.26
4/15/1994,3661.47
4/22/1994,3648.68
4/29/1994,3681.69
5/6/1994,3669.5
5/13/1994,3659.68
5/20/1994,3766.35
5/27/1994,3757.14
6/3/1994,3772.22
6/10/1994,3773.45
6/17/1994,3776.78
6/24/1994,3636.94
7/1/1994,3646.65
7/8/1994,3709.14
7/15/1994,3753.81
7/22/1994,3735.04
7/29/1994,3764.5
8/5/1994,3747.02
8/12/1994,3768.71
8/19/1994,3755.11
8/26/1994,3881.05
9/2/1994,3885.58
9/9/1994,3874.81
9/16/1994,3933.35
9/23/1994,3831.75
9/30/1994,3843.19
10/7/1994,3797.43
10/14/1994,3910.47
10/21/1994,3891.3
10/28/1994,3930.66
11/4/1994,3807.52
11/11/1994,3801.47
11/18/1994,3815.26
11/25/1994,3708.27
12/2/1994,3745.62
12/9/1994,3691.11
12/16/1994,3807.19
12/23/1994,3833.43
12/30/1994,3834.44
1/6/1995,3867.41
1/13/1995,3908.46
1/20/1995,3869.43
1/27/1995,3857.99
2/3/1995,3928.64
2/10/1995,3939.07
2/17/1995,3953.54
2/24/1995,4011.74
3/3/1995,3989.61
3/10/1995,4035.61
3/17/1995,4073.65
3/24/1995,4138.67
3/31/1995,4157.69
4/7/1995,4192.62
4/13/1995,4208.18
4/21/1995,4270.09
4/28/1995,4321.27
5/5/1995,4343.4
5/12/1995,4430.56
5/19/1995,4341.33
5/26/1995,4369
6/2/1995,4444.39
6/9/1995,4423.99
6/16/1995,4510.79
6/23/1995,4585.84
6/30/1995,4556.1
7/7/1995,4702.73
7/14/1995,4708.82
7/21/1995,4641.55
7/28/1995,4715.51
8/4/1995,4683.46
8/11/1995,4618.3
8/18/1995,4617.6
8/25/1995,4601.4
9/1/1995,4647.54
9/8/1995,4700.72
9/15/1995,4797.57
9/22/1995,4764.15
9/29/1995,4789.08
10/6/1995,4769.21
10/13/1995,4793.78
10/20/1995,4794.86
10/27/1995,4741.75
11/3/1995,4825.57
11/10/1995,4870.37
11/17/1995,4989.95
11/24/1995,5048.84
12/1/1995,5087.13
12/8/1995,5156.86
12/15/1995,5176.73
12/22/1995,5097.97
12/29/1995,5117.12
1/5/1996,5181.43
1/12/1996,5061.12
1/19/1996,5184.68
1/26/1996,5271.75
2/2/1996,5373.99
2/9/1996,5541.62
2/16/1996,5503.32
2/23/1996,5630.49
3/1/1996,5536.56
3/8/1996,5470.45
3/15/1996,5584.97
3/22/1996,5636.64
3/29/1996,5587.14
4/4/1996,5682.88
4/12/1996,5532.59
4/19/1996,5535.48
4/26/1996,5567.99
5/3/1996,5478.03
5/10/1996,5518.14
5/17/1996,5687.5
5/24/1996,5762.86
5/31/1996,5643.18
6/7/1996,5697.11
6/14/1996,5649.45
6/21/1996,5705.23
6/28/1996,5654.63
7/5/1996,5588.14
7/12/1996,5510.56
7/19/1996,5426.82
7/26/1996,5473.06
8/2/1996,5679.83
8/9/1996,5681.31
8/16/1996,5689.45
8/23/1996,5722.74
8/30/1996,5616.21
9/6/1996,5659.86
9/13/1996,5838.52
9/20/1996,5888.46
9/27/1996,5872.92
10/4/1996,5992.86
10/11/1996,5969.38
10/18/1996,6094.23
10/25/1996,6007.02
11/1/1996,6021.93
11/8/1996,6219.82
11/15/1996,6348.03
11/22/1996,6471.76
11/29/1996,6521.7
12/6/1996,6381.94
12/13/1996,6304.87
12/20/1996,6484.4
12/27/1996,6560.91
1/3/1997,6544.09
1/10/1997,6703.79
1/17/1997,6833.1
1/24/1997,6696.48
1/31/1997,6813.09
2/7/1997,6855.8
2/14/1997,6988.96
2/21/1997,6931.62
2/28/1997,6877.74
3/7/1997,7000.89
3/14/1997,6935.46
3/21/1997,6804.79
3/27/1997,6740.59
4/4/1997,6526.07
4/11/1997,6391.69
4/18/1997,6703.55
4/25/1997,6738.87
5/2/1997,7071.2
5/9/1997,7169.53
5/16/1997,7194.67
5/23/1997,7345.91
5/30/1997,7331.04
6/6/1997,7435.78
6/13/1997,7782.04
6/20/1997,7796.51
6/27/1997,7687.72
7/3/1997,7895.81
7/11/1997,7921.82
7/18/1997,7890.46
7/25/1997,8113.44
8/1/1997,8194.04
8/8/1997,8031.22
8/15/1997,7694.66
8/22/1997,7887.91
8/29/1997,7622.42
9/5/1997,7822.41
9/12/1997,7742.97
9/19/1997,7917.27
9/26/1997,7922.18
10/3/1997,8038.58
10/10/1997,8045.21
10/17/1997,7847.03
10/24/1997,7715.41
10/31/1997,7442.08
11/7/1997,7581.32
11/14/1997,7572.48
11/21/1997,7881.07
11/28/1997,7823.13
12/5/1997,8149.13
12/12/1997,7838.3
12/19/1997,7756.29
12/26/1997,7679.31
1/2/1998,7965.04
1/9/1998,7580.42
1/16/1998,7753.55
1/23/1998,7700.74
1/30/1998,7906.5
2/6/1998,8189.49
2/13/1998,8370.1
2/20/1998,8413.94
2/27/1998,8545.72
3/6/1998,8569.39
3/13/1998,8602.52
3/20/1998,8906.43
3/27/1998,8796.08
4/3/1998,8983.41
4/9/1998,8994.86
4/17/1998,9167.5
4/24/1998,9064.62
5/1/1998,9147.07
5/8/1998,9055.15
5/15/1998,9096
5/22/1998,9114.44
5/29/1998,8899.95
6/5/1998,9037.71
6/12/1998,8834.94
6/19/1998,8712.87
6/26/1998,8944.54
7/2/1998,9025.26
7/10/1998,9105.74
7/17/1998,9337.97
7/24/1998,8937.36
7/31/1998,8883.29
8/7/1998,8598.02
8/14/1998,8425
8/21/1998,8533.65
8/28/1998,8051.68
9/4/1998,7640.25
9/11/1998,7795.5
9/18/1998,7895.66
9/25/1998,8028.77
10/2/1998,7784.69
10/9/1998,7899.52
10/16/1998,8416.76
10/23/1998,8452.29
10/30/1998,8592.1
11/6/1998,8975.46
11/13/1998,8919.59
11/20/1998,9159.55
11/27/1998,9333.08
12/4/1998,9016.14
12/11/1998,8821.76
12/18/1998,8903.63
12/24/1998,9217.99
12/31/1998,9181.43
1/8/1999,9643.32
1/15/1999,9340.55
1/22/1999,9120.67
1/29/1999,9358.83
2/5/1999,9304.24
2/12/1999,9274.89
2/19/1999,9339.95
2/26/1999,9306.58
3/5/1999,9736.08
3/12/1999,9876.35
3/19/1999,9903.55
3/26/1999,9822.24
4/1/1999,9832.51
4/9/1999,10173.84
4/16/1999,10493.89
4/23/1999,10689.67
4/30/1999,10789.04
5/7/1999,11031.59
5/14/1999,10913.32
5/21/1999,10829.28
5/28/1999,10559.74
6/4/1999,10799.84
6/11/1999,10490.51
6/18/1999,10855.56
6/25/1999,10552.56
7/2/1999,11139.24
7/9/1999,11193.7
7/16/1999,11209.84
7/23/1999,10910.96
7/30/1999,10655.15
8/6/1999,10714.03
8/13/1999,10973.65
8/20/1999,11100.61
8/27/1999,11090.17
9/3/1999,11078.45
9/10/1999,11028.43
9/17/1999,10803.63
9/23/1999,10318.59
10/1/1999,10273
10/8/1999,10649.76
10/15/1999,10019.71
10/22/1999,10470.25
10/29/1999,10729.86
11/5/1999,10704.48
11/12/1999,10769.32
11/19/1999,11003.89
11/26/1999,10988.91
12/3/1999,11286.18
12/10/1999,11224.7
12/17/1999,11257.43
12/23/1999,11405.76
12/31/1999,11497.12
1/7/2000,11522.56
1/14/2000,11722.98
1/21/2000,11251.71
1/28/2000,10738.87
2/4/2000,10963.8
2/11/2000,10425.21
2/18/2000,10219.52
2/25/2000,9862.12
3/3/2000,10367.2
3/10/2000,9928.82
3/17/2000,10595.23
3/24/2000,11112.72
3/31/2000,10921.92
4/7/2000,11111.48
4/14/2000,10305.77
4/20/2000,10844.05
4/28/2000,10733.91
5/5/2000,10577.86
5/12/2000,10609.37
5/19/2000,10626.85
5/26/2000,10299.24
6/2/2000,10794.76
